"Diam_cm","height_m","biomass_g"
0.17,0.6,1.379166666
0.22,0.32,2.7800005895
0.23,0.4,2.397499998
0.23,0.42,4.260674938
0.31,0.32,4.477220516
0.32,0.63,2.798333332
0.32,0.45,4.270674938
0.35,1.2,11.944683688
0.35,0.65,8.808343168
0.37,0.75,4.9455619155
0.42,0.62,53.480658568
0.45,1.25,18.171350352
0.5,0.9,17.786822446
0.5,0.75,13.887760546
0.57,0.7,19.027720096
0.6,1.2,24.0233889285714
0.6,0.9,18.249154284
0.6,1.15,24.903955249
0.6,0.6,20.458838299
0.61,1.1,13.652183694
0.62,1,27.486189541
0.65,1.25,32.073734772
0.65,1.05,29.449786425
0.65,1.85,175.226368661
0.7,0.75,21.450572581
0.73,1.15,47.437968338
0.74,1.3,57.2480324352308
0.78,1.2,34.96521519
0.8,1.15,43.570351452
0.81,1.9,72.1166588048572
0.84,1.27,37.1948692
0.85,1.4,62.908436698
0.9,1.3,45.254593318
0.92,1.1,40.482034495
0.93,1.02,48.634636149
0.97,1.8,80.299047751
1,1.5,92.553637412
1,1.8,107.708475047
1,1.3,55.114554398
1.03,1.6,67.5700010408235
1.05,1.3,87.633670862
1.05,0.65,51.340641774
1.1,0.6,64.27492871
1.15,1.8,111.64889722619
1.15,2,83.8790956555556
1.19,1.4,99.2699420326087
1.2,1.65,128.740135404
1.2,0.75,97.533527882
1.22,1.63,105.519771232
1.23,1.15,68.442126811
1.3,1.5,66.507970355
1.31,1.75,99.2175053021176
1.31,1.65,114.410160101556
1.32,1.5,127.78678401
1.33,2,139.835790126485
1.44,1.83,189.515377084
1.5,1.5,123.128437306
1.51,1.75,137.905162808074
1.53,2.1,179.406972580513
1.55,1.25,134.190652136
1.56,1.6,229.472496467
1.57,1.5,145.713117964
1.6,1.75,135.813608485
1.6,1.8,132.162955509
1.65,1.75,107.073777212
1.75,1.6,194.334621859
1.8,2.1,229.497962717
1.82,2.22,513.335491778
1.83,1.4,130.413547907143
1.85,1.75,227.639282037
1.9,2.15,186.521548646957
1.9,1.65,230.832874971
2,1.6,328.274887061778
2,2.1,240.522464577871
2,2,280.248699981
2,1.6,210.594184014
2.01,1.7,239.995954126
2.1,1.6,203.405939737
2.2,2.15,338.360174334033
2.2,2,165.562907775
2.23,1.95,283.915830435
2.25,2.1,211.897381389
2.25,1.65,248.875483279
2.3,3,392.547243495429
2.3,1.8,358.320318789
2.35,2,242.08985502
2.4,2.2,446.774467832789
2.45,2.27,493.364464771429
2.45,2,275.566731982
2.5,2.03,434.814491672936
2.5,3.1,718.345633916
2.5,2.1,309.240626794
2.5,2.1,394.318054006
2.62,2.5,387.246147831
2.67,2,454.681863152
2.7,2.15,424.434850968
2.73,2.05,373.177126473
2.8,2.04,477.293419584
2.8,2.05,386.07087706
2.85,2.4,714.360573818
2.87,2.4,482.646649617114
2.9,2.1,476.206851119
2.91,2.9,686.932841328
2.93,2.35,433.43919399108
2.95,1.9,597.856074095
3,2,366.19841308
3,2.04,482.603835641
3.01,2.1,585.10278289
3.02,2.35,534.523050783349
3.05,3.21,815.207844136
3.1,2.6,434.720583308
3.15,2.25,588.555398703622
3.19,2.6,583.336600418
3.2,2.1,624.065047863
3.25,2.1,463.288993746
3.25,2.25,532.042616927
3.29,2.6,746.814508339
3.3,2.8,780.456211758
3.3,2.5,654.196717247
3.32,2.3,814.405218495
